gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,0,0,69,1,True,Fiber optic,False,True,False,True,True,True,One year,1,Bank transfer (automatic),105.1999969482422,7386.0498046875,0
Female,0,0,0,7,1,False,DSL,False,False,False,False,True,True,Month-to-month,1,Electronic check,66.8499984741211,458.1000061035156,0
Male,0,1,0,10,1,True,Fiber optic,False,False,False,False,False,True,Month-to-month,1,Electronic check,85.25,855.2999877929688,1
Male,0,1,0,23,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.3,486.2,0
Male,1,0,0,2,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.200000762939453,37.20000076293945,0
Female,0,0,0,2,1,False,DSL,False,True,False,False,False,False,Month-to-month,1,Credit card (automatic),49.04999923706055,91.0999984741211,1
Female,0,0,0,16,1,True,DSL,False,False,True,False,False,True,Month-to-month,1,Credit card (automatic),65.19999694824219,1043.3499755859375,1
Male,1,0,0,8,1,False,Fiber optic,False,True,False,False,False,False,Month-to-month,1,Electronic check,74.5,606.5499877929688,1
Female,0,0,1,12,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.6,893.0,0
Female,1,0,0,3,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.3,235.5,1
Female,0,1,0,72,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.399999618530277,1496.449951171875,0
Male,0,0,0,15,1,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,26.350000381469727,378.6000061035156,0
Male,0,1,1,4,1,True,Fiber optic,False,False,True,False,True,True,Month-to-month,0,Electronic check,101.1500015258789,385.8999938964844,1
Male,0,1,1,54,1,False,Fiber optic,False,True,False,True,False,False,Two year,1,Bank transfer (automatic),79.94999694824219,4362.0498046875,0
Female,0,0,0,38,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.049999237060547,678.2000122070312,0
Female,0,0,0,9,1,True,Fiber optic,False,False,True,False,True,True,Month-to-month,0,Credit card (automatic),98.3000030517578,923.5,1
Female,0,1,0,2,1,False,Fiber optic,True,False,False,False,False,False,Month-to-month,1,Electronic check,74.4000015258789,139.39999389648438,1
Female,0,0,0,54,1,True,Fiber optic,False,True,False,False,True,True,Two year,1,Bank transfer (automatic),97.1999969482422,5129.4501953125,0
Male,0,0,0,58,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,0,Bank transfer (automatic),99.15,5720.95,0
Female,0,0,0,62,1,True,DSL,False,True,True,True,True,True,Two year,0,Bank transfer (automatic),84.5,5193.2001953125,0
Male,0,0,0,10,1,False,Fiber optic,True,False,True,False,False,False,Month-to-month,1,Mailed check,79.8499984741211,887.3499755859375,0
Male,0,0,0,17,1,False,Fiber optic,False,False,True,False,False,False,Month-to-month,1,Electronic check,76.6500015258789,1313.550048828125,1
Male,0,1,0,59,1,False,DSL,True,True,True,False,True,False,One year,0,Credit card (automatic),66.4000015258789,3958.199951171875,0
Male,0,1,0,24,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,93.0,2248.05,0
Female,0,0,0,7,1,False,DSL,True,False,False,False,False,True,One year,1,Electronic check,59.09999847412109,369.25,0
Female,0,0,0,69,1,True,Fiber optic,False,False,True,True,True,True,Two year,0,Electronic check,104.0,7028.5,0
Male,0,0,0,50,1,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),24.899999618530277,1195.25,0
Male,0,0,0,13,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,79.8,973.45,1
Male,0,1,0,58,1,False,DSL,False,False,True,False,False,False,One year,0,Credit card (automatic),50.29999923706055,2878.550048828125,0
Female,0,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,1,Bank transfer (automatic),79.5,5661.7,0
Female,0,0,0,3,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,20.200000762939453,65.94999694824219,0
Male,0,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,0,Credit card (automatic),81.0,5750.0,0
Female,0,1,0,59,1,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,1,Electronic check,80.1,4693.2,0
Female,0,1,0,35,1,False,Fiber optic,False,False,False,False,False,False,Month-to-month,1,Electronic check,70.30000305175781,2416.550048828125,1
Male,0,1,1,64,1,False,Fiber optic,True,True,False,False,False,False,Month-to-month,0,Electronic check,81.05000305175781,5135.35009765625,0
Female,0,1,1,53,1,False,Fiber optic,False,True,True,True,True,True,Month-to-month,1,Bank transfer (automatic),108.25,5935.10009765625,0
Female,0,0,0,2,1,True,Fiber optic,False,False,True,False,False,False,Month-to-month,0,Mailed check,80.5999984741211,155.8000030517578,1
Female,1,1,0,67,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,1,Credit card (automatic),107.05,7142.5,0
Male,0,0,0,26,0,No,DSL,True,True,False,False,False,True,Month-to-month,1,Bank transfer (automatic),44.650001525878906,1156.550048828125,0
Male,0,1,1,51,1,False,DSL,True,False,False,True,True,True,One year,1,Bank transfer (automatic),76.4000015258789,3966.300048828125,0
Male,0,1,1,25,1,False,DSL,True,True,True,False,False,False,One year,1,Bank transfer (automatic),61.59999847412109,1611.0,0
Male,0,0,1,4,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,49.4,184.4,1
Female,0,0,0,17,1,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,0,Credit card (automatic),79.85,1387.35,0
Male,0,1,0,11,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),55.05,608.15,0
Male,1,1,1,34,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,108.9,3625.2,0
Male,0,1,1,50,1,True,Fiber optic,False,True,True,False,True,True,Month-to-month,1,Bank transfer (automatic),103.8499984741211,5017.89990234375,1
Female,0,1,1,69,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.75,1375.4000244140625,0
Female,0,0,0,41,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,20.45,775.6,0
Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Mailed check,79.65,152.7,1
Female,0,0,0,3,1,True,Fiber optic,False,False,False,False,False,False,Month-to-month,1,Credit card (automatic),75.0999984741211,270.70001220703125,1
Female,0,0,0,8,1,True,Fiber optic,False,False,True,False,True,True,Month-to-month,1,Electronic check,99.6500015258789,820.5,1
Female,0,1,1,70,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.2,1401.4,0
Male,0,1,0,71,1,False,DSL,True,True,True,True,True,True,Two year,1,Bank transfer (automatic),86.0999984741211,6045.89990234375,0
Male,0,0,0,6,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.65,109.3,0
Male,0,0,0,15,1,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,0,Electronic check,95.7,1451.1,0
Female,1,1,0,60,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,105.9,6401.25,0
Female,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,110.15,7998.8,0
Male,0,0,0,7,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.25,112.3000030517578,1
Female,0,1,1,8,1,False,DSL,False,False,False,True,True,True,Month-to-month,1,Electronic check,68.55000305175781,564.3499755859375,0
Female,0,0,1,2,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.5,38.25,0
Male,0,1,1,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,1,Electronic check,93.65,4520.15,0
Male,0,0,0,1,1,False,Fiber optic,False,False,False,False,False,True,Month-to-month,0,Electronic check,79.9000015258789,79.9000015258789,1
Female,1,0,0,65,0,No,DSL,False,True,True,False,True,True,Two year,1,Bank transfer (automatic),53.5,3517.89990234375,0
Male,0,0,0,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.0,275.7,0
Male,0,1,0,2,1,True,Fiber optic,False,False,True,False,True,False,Month-to-month,1,Electronic check,91.4499969482422,171.4499969482422,0
Male,0,1,0,6,1,False,Fiber optic,False,True,True,False,False,True,Month-to-month,1,Electronic check,91.0,531.0,1
Male,0,0,0,46,1,True,Fiber optic,True,False,False,False,True,False,Month-to-month,1,Credit card (automatic),89.1500015258789,4245.5498046875,0
Male,0,1,0,59,1,True,Fiber optic,False,False,False,False,False,True,One year,0,Electronic check,85.55000305175781,5084.64990234375,1
Female,1,0,0,4,1,False,Fiber optic,False,False,False,False,True,False,Month-to-month,1,Electronic check,78.8499984741211,292.79998779296875,1
Female,0,0,0,7,1,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,53.65,404.35,0
Female,0,0,1,44,1,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,1,Mailed check,77.55,3471.1,0
Male,0,1,1,50,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,0,Electronic check,103.7,5071.05,1
Female,0,0,0,2,1,False,Fiber optic,False,False,False,False,True,False,Month-to-month,1,Electronic check,80.6500015258789,144.14999389648438,1
Male,1,1,1,20,1,False,Fiber optic,True,False,True,True,False,True,One year,0,Credit card (automatic),94.3000030517578,1818.300048828125,0
Female,0,0,1,10,1,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,0,Credit card (automatic),73.55,693.3,0
Female,0,1,0,69,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,26.3,1763.55,0
Female,0,1,1,49,0,No,DSL,True,False,False,True,False,False,One year,1,Credit card (automatic),35.79999923706055,1782.0,0
Male,0,0,0,27,1,True,Fiber optic,False,False,True,False,True,True,One year,1,Bank transfer (automatic),100.5,2673.449951171875,0
Male,0,0,0,1,1,False,Fiber optic,False,False,False,False,True,True,Month-to-month,1,Electronic check,89.55000305175781,89.55000305175781,1
Male,0,1,1,65,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.75,1715.1,0
Male,0,0,0,7,0,No phone service,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,35.3,264.8,0
Male,0,0,1,39,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.350000381469727,779.2000122070312,0
Male,0,0,0,37,1,True,Fiber optic,False,False,False,True,True,True,Month-to-month,0,Bank transfer (automatic),98.8000030517578,3475.550048828125,1
Female,0,1,1,16,1,True,Fiber optic,True,False,True,True,True,True,Month-to-month,1,Electronic check,112.9499969482422,1882.550048828125,0
Male,1,1,0,29,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.45,2653.65,1
Female,0,0,0,14,1,False,Fiber optic,False,False,True,False,False,False,Month-to-month,0,Electronic check,75.3499984741211,1025.949951171875,1
Female,1,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.75,154.85,1
Male,0,0,1,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),21.05,235.8,0
Male,0,1,1,66,1,True,DSL,False,False,True,False,True,False,Two year,1,Bank transfer (automatic),63.29999923706055,4189.7001953125,0
Male,0,1,0,66,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,1,Credit card (automatic),106.05,6981.35,1
Male,0,0,0,3,1,False,DSL,False,False,False,True,False,True,Month-to-month,0,Mailed check,60.650001525878906,196.8999938964844,0
Male,1,0,0,12,0,No,DSL,False,False,True,True,False,True,Month-to-month,1,Electronic check,43.650001525878906,526.9500122070312,1
Male,0,1,1,68,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,1,Credit card (automatic),101.05,6770.5,0
Male,0,0,0,30,1,False,Fiber optic,False,False,False,False,True,True,Month-to-month,1,Electronic check,90.25,2755.35009765625,1
Male,0,0,0,3,1,No,DSL,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,49.15,169.05,1
Male,0,1,0,4,1,False,DSL,False,False,False,True,False,False,Month-to-month,0,Mailed check,50.04999923706055,179.35000610351562,1
Male,0,1,1,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),21.05,262.05,0
Male,1,0,0,52,0,No,DSL,False,True,False,False,True,True,Month-to-month,1,Electronic check,49.150001525878906,2550.89990234375,1
Male,0,1,0,3,1,False,DSL,False,False,True,True,False,False,Month-to-month,1,Mailed check,55.79999923706055,154.5500030517578,0
Male,0,1,0,13,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),102.25,1359.0,1
Male,0,0,0,57,1,False,DSL,True,False,True,False,True,True,Two year,1,Bank transfer (automatic),74.3499984741211,4317.35009765625,0
Female,0,0,0,1,1,False,DSL,False,False,False,True,False,False,Month-to-month,1,Electronic check,52.20000076293945,52.20000076293945,1
Male,0,1,0,43,1,False,Fiber optic,True,False,True,True,False,False,One year,1,Bank transfer (automatic),84.25,3539.25,0
Male,0,1,1,5,1,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Electronic check,84.5,453.75,1
Male,0,0,0,65,1,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,0,Electronic check,93.55,6069.25,0
Female,0,0,1,63,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.5,1215.0999755859375,0
Male,0,1,1,35,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.5,759.3499755859375,0
Male,0,0,1,44,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.55,819.95,0
Female,0,0,0,60,1,True,Fiber optic,False,True,True,False,True,True,Month-to-month,1,Electronic check,105.9000015258789,6396.4501953125,1
Female,0,0,0,1,1,False,Fiber optic,False,False,True,False,True,False,Month-to-month,1,Credit card (automatic),85.55000305175781,85.55000305175781,1
Male,1,1,0,21,1,False,DSL,True,True,False,False,False,True,Month-to-month,1,Bank transfer (automatic),64.94999694824219,1339.800048828125,0
Male,0,1,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),115.65,7968.85,1
Female,0,0,0,57,1,True,Fiber optic,False,True,False,True,False,True,One year,0,Electronic check,94.6999969482422,5468.9501953125,0
Female,0,1,0,9,0,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,48.75,442.2,1
Female,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.9,19.9,0
Male,0,0,1,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,25.3,25.3,1
Male,0,1,0,58,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.75,1185.949951171875,0
Female,0,0,0,32,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.9,601.55,0
Male,0,0,1,51,1,False,DSL,False,False,False,True,False,False,One year,0,Credit card (automatic),47.84999847412109,2356.75,0
Male,0,0,1,61,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.75,1124.199951171875,0
Female,0,0,0,24,1,True,Fiber optic,True,False,False,True,False,False,Month-to-month,1,Electronic check,84.3499984741211,1938.050048828125,0
Female,0,1,1,57,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.1,1087.7,0
Male,0,1,0,49,0,No,DSL,False,True,False,False,True,True,Two year,0,Credit card (automatic),49.650001525878906,2409.89990234375,0
Female,1,1,0,50,1,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,25.200000762939453,1306.300048828125,0
Female,0,1,1,70,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.8,1378.75,0
Female,0,0,0,16,1,True,Fiber optic,False,False,False,False,False,False,Month-to-month,0,Electronic check,72.6500015258789,1194.300048828125,1
Male,0,0,0,72,0,No,DSL,True,True,True,True,True,True,Two year,1,Bank transfer (automatic),63.70000076293945,4464.7998046875,0
Male,0,1,1,62,1,False,Fiber optic,True,True,True,True,True,True,Two year,0,Mailed check,108.1500015258789,6825.64990234375,0
Male,0,0,0,52,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.3,5731.4,0
Female,0,1,1,25,0,No,DSL,True,True,True,False,True,True,Month-to-month,1,Credit card (automatic),58.59999847412109,1502.6500244140625,1
Female,0,1,1,70,1,False,DSL,False,True,True,True,True,True,Two year,1,Bank transfer (automatic),80.4000015258789,5717.85009765625,0
Male,0,1,0,59,0,No,DSL,False,True,False,False,False,True,Month-to-month,1,Bank transfer (automatic),41.04999923706055,2452.699951171875,1
Female,0,1,1,47,0,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Credit card (automatic),60.0,2768.65,0
Female,1,0,0,13,1,True,Fiber optic,True,False,False,False,True,True,Month-to-month,1,Electronic check,100.8000030517578,1308.0999755859375,1
Male,0,1,0,52,1,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,1,Credit card (automatic),95.65,5088.4,0
Male,0,1,1,51,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,23.95,1216.35,0
Male,1,1,1,22,0,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,0,Mailed check,40.05,880.2,1
Female,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),20.3,20.3,0
Male,0,0,0,12,1,True,DSL,True,True,False,True,False,False,Month-to-month,1,Electronic check,67.25,832.2999877929688,0
Female,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,1,Bank transfer (automatic),84.05,6052.25,0
Female,0,0,1,14,1,False,DSL,False,False,True,False,True,False,Month-to-month,1,Credit card (automatic),59.79999923706055,824.8499755859375,0
Female,0,1,1,41,1,True,DSL,True,True,True,True,False,True,Month-to-month,0,Credit card (automatic),79.9000015258789,3326.199951171875,1
Female,0,1,1,66,1,No,DSL,Yes,No,No,No,Yes,No,Two year,1,Electronic check,59.75,3996.8,0
Female,0,1,1,53,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.9,1146.05,0
Male,0,1,0,62,0,No,DSL,True,True,False,True,False,False,Two year,1,Credit card (automatic),38.59999847412109,2345.550048828125,0
Female,0,1,1,12,0,No,DSL,True,False,False,True,False,False,One year,0,Credit card (automatic),33.150001525878906,444.75,0
Female,0,1,0,25,0,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),34.0,853.0,1
Female,0,1,0,25,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,54.1,1373.0,0
Male,1,0,0,55,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,116.5,6382.55,0
Male,0,1,1,41,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,102.6,4213.35,1
Male,1,0,0,37,0,No,DSL,False,True,True,False,False,False,Month-to-month,0,Electronic check,36.650001525878906,1315.0,0
Male,0,1,0,40,1,True,Fiber optic,False,False,False,False,True,True,Month-to-month,1,Bank transfer (automatic),97.0999984741211,3706.949951171875,1
Male,0,1,0,22,1,True,Fiber optic,True,False,False,True,True,False,Month-to-month,0,Credit card (automatic),95.9000015258789,2234.949951171875,0
Female,1,1,0,8,1,True,Fiber optic,False,True,False,False,False,False,Month-to-month,1,Credit card (automatic),80.6500015258789,633.2999877929688,1
Male,0,1,1,35,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.100000381469727,655.2999877929688,0
Male,0,1,1,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),114.35,7665.8,0
Female,0,1,1,11,1,True,DSL,False,False,False,True,False,True,Month-to-month,1,Electronic check,66.3499984741211,740.7999877929688,1
Female,1,0,0,67,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,54.9,3725.5,0
Female,1,1,0,4,1,True,Fiber optic,False,False,False,False,True,False,Month-to-month,1,Electronic check,83.25,308.04998779296875,0
Male,0,1,1,22,1,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,1,Mailed check,78.65,1663.75,0
Female,0,1,0,12,1,True,DSL,True,False,True,False,True,True,One year,0,Electronic check,78.8499984741211,876.75,0
Male,0,0,0,5,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Electronic check,56.15,291.45,0
Male,0,0,0,23,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Mailed check,104.05,2470.1,1
Female,0,0,0,60,0,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,1,Electronic check,44.45,2773.9,0
Male,0,1,0,44,0,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),54.3,2390.45,0
Female,0,1,0,69,1,True,Fiber optic,True,True,True,True,True,True,Two year,1,Electronic check,116.0,8182.85009765625,0
Female,0,0,0,15,1,False,DSL,False,True,False,False,False,False,Month-to-month,0,Electronic check,48.84999847412109,736.7999877929688,0
Female,0,1,0,15,1,False,Fiber optic,False,False,False,False,True,True,Month-to-month,0,Electronic check,88.1500015258789,1390.5999755859375,1
Male,0,0,1,54,1,No,DSL,No,Yes,Yes,Yes,No,No,One year,1,Electronic check,61.0,3283.05,0
Female,0,0,0,16,1,False,Fiber optic,False,True,False,False,False,True,Month-to-month,1,Electronic check,86.25,1340.0999755859375,0
Female,0,0,0,32,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),104.05,3416.85,0
Female,0,0,0,12,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,0,Mailed check,95.5,1115.15,1
Female,1,0,0,20,1,False,Fiber optic,False,False,False,False,True,False,Month-to-month,0,Bank transfer (automatic),80.69999694824219,1614.199951171875,0
Male,0,1,1,11,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.450000762939453,250.8000030517578,0
Female,0,0,0,5,1,False,Fiber optic,False,True,False,False,True,False,Month-to-month,1,Mailed check,85.30000305175781,420.4500122070313,0
Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.3,20.3,0
Male,0,0,0,3,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Credit card (automatic),74.45,221.1,0
Female,0,0,0,15,1,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,55.7,899.8,1
Male,0,0,0,13,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,91.1,1135.7,1
Female,0,0,1,50,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.149999618530277,970.8499755859376,0
Male,0,0,0,1,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.5,19.5,0
Female,0,1,1,54,1,False,DSL,True,False,True,True,False,True,Two year,0,Bank transfer (automatic),69.94999694824219,3871.85009765625,0
Male,0,0,1,39,0,No,DSL,True,False,False,True,True,False,One year,0,Bank transfer (automatic),45.04999923706055,1790.5999755859375,0
Female,0,1,1,3,1,True,Fiber optic,False,False,False,False,False,True,Month-to-month,1,Bank transfer (automatic),84.75,264.8500061035156,1
Male,1,1,0,27,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),36.5,1032.0,1
Male,1,0,0,12,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.45,1200.15,1
Female,0,0,0,18,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.100000381469727,407.0499877929688,0
Male,1,1,0,51,1,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,1,Bank transfer (automatic),93.65,4839.15,0
Female,0,1,1,39,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.75,757.9500122070312,0
Female,0,1,0,19,1,False,DSL,False,False,False,False,False,False,Month-to-month,0,Mailed check,44.900001525878906,839.6500244140625,0
Female,0,1,1,59,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,106.15,6256.2,0
Female,1,1,0,68,1,False,DSL,False,True,True,True,False,False,One year,1,Bank transfer (automatic),60.650001525878906,3975.89990234375,0
Male,0,1,0,72,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.4,1797.1,0
Female,0,0,0,26,1,True,Fiber optic,False,False,True,False,False,False,Month-to-month,1,Electronic check,80.69999694824219,2193.0,0
Male,0,0,0,27,1,False,DSL,True,True,False,False,False,False,One year,0,Bank transfer (automatic),55.45000076293945,1477.6500244140625,0
Male,0,1,1,62,1,True,Fiber optic,True,True,False,False,True,False,One year,1,Credit card (automatic),94.9499969482422,5791.85009765625,0
Female,0,1,1,12,1,False,DSL,False,False,True,False,True,False,Month-to-month,1,Credit card (automatic),58.34999847412109,740.5499877929688,0
Female,0,0,0,25,1,True,Fiber optic,False,True,True,True,True,True,Two year,0,Electronic check,108.9000015258789,2809.050048828125,0
Male,1,1,0,19,0,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,1,Credit card (automatic),34.3,577.15,0
Female,0,0,0,11,1,True,Fiber optic,False,False,False,True,True,False,Month-to-month,0,Electronic check,90.1500015258789,987.9500122070312,1
Male,0,0,0,64,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.549999237060547,1240.1500244140625,0
Male,0,0,1,2,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,55.3,108.65,0
Male,0,0,0,2,1,False,Fiber optic,False,True,False,False,False,False,Month-to-month,1,Electronic check,74.75,144.8000030517578,0
Female,0,1,0,19,1,False,Fiber optic,True,False,False,False,False,False,Month-to-month,1,Electronic check,73.19999694824219,1441.0999755859375,1
Female,1,0,0,16,1,True,Fiber optic,False,False,False,False,True,True,Month-to-month,1,Electronic check,96.1500015258789,1529.199951171875,1
